founded_year,region,city,country_code,avg_funding,total_funding
NULL,"Rochester, New York","East Rochester",USA,8500000,8500000
NULL,"Palm Beaches",Jupiter,USA,8333309,8333309
NULL,Adelaide,Adelaide,AUS,8180000,8180000
NULL,London,Basingstoke,GBR,8033458,8033458
NULL,Ottawa,Ottawa,CAN,8000000,16000000
NULL,Tallinn,Tallinn,EST,8000000,8000000
NULL,Chennai,Chennai,IND,7125000,14250000
NULL,"LA - Other",Georgia,USA,7100000,7100000
NULL,Dallas,Carrollton,USA,6800000,6800000
NULL,Chicago,"Des Plaines",USA,6790000,6790000
NULL,"Ontario - Inland Empire",Chino,USA,6760009,13520018
NULL,Nashville,Nashville,USA,6706000,6706000
NULL,Newark,"East Rutherford",USA,6700000,6700000
NULL,Atlanta,Alpharetta,USA,6050000,12100000
NULL,Atlanta,Lawrenceville,USA,6000000,6000000
NULL,Girona,Girona,ESP,6000000,6000000
NULL,Minneapolis,Burnsville,USA,6000000,6000000
NULL,Hartford,Norwalk,USA,5500000,5500000
NULL,Eugene,Redmond,USA,5250000,5250000
NULL,Miami,Miami,USA,5150000,10300000
NULL,Minneapolis,Eagan,USA,5088130,5088130
NULL,"Washington, D.C.",Gaithersburg,USA,5000000,5000000
NULL,Newark,Somerset,USA,5000000,5000000
NULL,Boston,Lowell,USA,5000000,5000000
NULL,Boston,Newton,USA,5000000,5000000
NULL,Newark,"Jersey City",USA,5000000,5000000
NULL,Milwaukee,Milwaukee,USA,4800000,4800000
NULL,"NY - Other","Orchard Park",USA,4700000,4700000
NULL,Dallas,Irving,USA,4250000,8500000
NULL,"SF Bay Area","Corte Madera",USA,4130904,4130904
NULL,Austin,Georgetown,USA,4000000,4000000
NULL,"AUS - Other",Bentley,AUS,4000000,4000000
NULL,Tunis,Tunis,TUN,3920000,3920000
NULL,"Washington, D.C.",Herndon,USA,3800000,3800000
NULL,Baltimore,"Linthicum Heights",USA,3742188,3742188
NULL,"St. John's","Saint John's",CAN,3700000,3700000
NULL,Lyon,Lyon,FRA,3500000,3500000
NULL,Detroit,Troy,USA,3440115,6880230
NULL,"CHN - Other",Changsha,CHN,3341928,3341928
NULL,Tulsa,Tulsa,USA,3255325,3255325
NULL,Alexandria,Alexandria,USA,3000000,3000000
NULL,"Little Rock","Little Rock",USA,3000000,3000000
NULL,Buffalo,Buffalo,USA,3000000,3000000
NULL,Boston,Needham,USA,3000000,3000000
NULL,London,Reading,GBR,3000000,3000000
NULL,Detroit,Plymouth,USA,3000000,3000000
NULL,Helsinki,Helsinki,FIN,3000000,3000000
NULL,"Portland, Oregon",Tigard,USA,2876384,2876384
NULL,"MN - Other",Rockville,USA,2807000,2807000
NULL,Denver,Denver,USA,2775000,5550000
NULL,Zurich,ZÃ¼rich,CHE,2700000,2700000
NULL,Stockholm,Stockholm,SWE,2590000,2590000
NULL,London,Abingdon,GBR,2500000,2500000
NULL,Shenzhen,Shenzhen,CHN,2500000,2500000
NULL,Chicago,Lincolnwood,USA,2400000,2400000
NULL,"SF Bay Area",Martinez,USA,2380000,2380000
NULL,Tampa,Tampa,USA,2344000,7032000
NULL,Minneapolis,Hopkins,USA,2250000,2250000
NULL,Charlotte,Charlotte,USA,2246171,2246171
NULL,"Long Island",Uniondale,USA,2183226,4366452
NULL,Boston,Concord,USA,2100000,2100000
NULL,Boston,Andover,USA,2100000,2100000
NULL,Newark,Roseland,USA,2000000,2000000
NULL,"SF Bay Area",Orinda,USA,2000000,2000000
NULL,"SF Bay Area","Morgan Hill",USA,2000000,2000000
NULL,Toronto,Markham,CAN,2000000,2000000
NULL,Boston,Marlborough,USA,1999998,1999998
NULL,Allentown,Bethlehem,USA,1952500,3905000
NULL,Brussels,Diepenbeek,BEL,1895233,1895233
NULL,Newark,Iselin,USA,1750000,1750000
NULL,Lausanne,Lausanne,CHE,1737170,1737170
NULL,"PHL - Other",Austria,PHL,1694742,1694742
NULL,"Greenville - Spartanburg",Easley,USA,1613014,1613014
NULL,Minneapolis,Minneapolis,USA,1500321,1500321
NULL,Montreal,Laval,CAN,1400000,1400000
NULL,Minneapolis,"Eden Prairie",USA,1350000,1350000
NULL,"SF Bay Area","Los Gatos",USA,1280000,1280000
NULL,"Springfield, Illinois",Springfield,USA,1250016,1250016
NULL,"Ft. Lauderdale",Lauderhill,USA,1250000,1250000
NULL,Chicago,Palatine,USA,1240000,1240000
NULL,"Colorado Springs","Colorado Springs",USA,1157500,1157500
NULL,Boston,Wilmington,USA,1150000,1150000
NULL,Huddersfield,Huddersfield,GBR,1140000,1140000
NULL,"TX - Other",Italy,USA,1000000,1000000
NULL,"SF Bay Area",Sausalito,USA,1000000,1000000
NULL,Worcester,Hardwick,USA,1000000,1000000
NULL,"Washington, D.C.",Vienna,USA,1000000,1000000
NULL,"Ft. Lauderdale",Sunrise,USA,946520,946520
NULL,Newark,Newark,USA,900000,900000
NULL,"Las Vegas","Boulder City",USA,878000,878000
NULL,Minneapolis,"Saint Paul",USA,682236,682236
NULL,"SF Bay Area",Danville,USA,675500,675500
NULL,"DEU - Other",EÃŸlingen,DEU,608000,608000
NULL,"San Diego",Poway,USA,605000,605000
NULL,Vancouver,Vancouver,CAN,581919.5,1163839
NULL,"SWE - Other","VÃ¤stra FrÃ¶lunda",SWE,540315,540315
NULL,Chicago,Evanston,USA,500000,500000
NULL,"Kansas City","Overland Park",USA,359742,359742
NULL,Houston,Richmond,USA,325000,325000
NULL,Dallas,Hurst,USA,300000,300000
NULL,"Las Vegas","Las Vegas",USA,300000,300000
NULL,Baltimore,Catonsville,USA,300000,300000
NULL,"Long Island",Jericho,USA,296487,296487
NULL,"NY - Other",Florida,USA,280000,280000
NULL,"Porto Alegre","Porto Alegre",BRA,243000,243000
NULL,"Washington, D.C.",Germantown,USA,237338,237338
NULL,"Florida's Space Coast",Melbourne,USA,202125,202125
NULL,Mumbai,Mumbai,IND,175000,175000
NULL,"Ft. Lauderdale",Weston,USA,155000,155000
NULL,Indianapolis,"West Lafayette",USA,127890,127890
NULL,Jacksonville,Jacksonville,USA,75000,75000
NULL,Boston,Quincy,USA,45000,45000
NULL,Hartford,Cheshire,USA,31322.81384,31322.81384
1863,Raleigh,Raleigh,USA,43500000,43500000
1869,"New York City","New York",USA,7500000,7500000
1879,"TN - Other",Quebeck,USA,28000000,28000000
1881,"Washington, D.C.",Washington,USA,5500,5500
1885,Phoenix,Tempe,USA,1000000,1000000
1895,Dallas,Dallas,USA,940000000,940000000
1899,"PHL - Other","Muntinlupa City",PHL,144000000,144000000
1899,Chicago,Deerfield,USA,5170000,5170000
1899,Worcester,Worcester,USA,1400000,1400000
2001,"CHN - Other",Chaoyang,CHN,876780000,876780000
2001,"CO - Other",Loveland,USA,510000000,510000000
2001,Worcester,Westborough,USA,264180000,528360000
2001,"DEU - Other",Aschheim,DEU,248000000,248000000
2001,Hamburg,Hamburg,DEU,230494000,460988000
2001,"Los Angeles","Woodland Hills",USA,220000000,220000000
2001,Seattle,Kent,USA,200000000,200000000
2001,"SF Bay Area",Vallejo,USA,197500000,197500000
2001,"BEL - Other",Zwijnaarde,BEL,186036236,186036236
2001,Durham,Durham,GBR,167163877.3,167163877.3
2001,Boston,Tewksbury,USA,149499995,149499995
2001,Worcester,Hardwick,USA,139500000,139500000
2001,Worcester,Northborough,USA,136000000,136000000
2001,"VA - Other",Shanghai,USA,135000000,135000000
2001,Newark,Bedminster,USA,126982482.5,253964965
2001,"Tel Aviv","Hod Hasharon",ISR,124000000,124000000
2001,"CA - Other","Lucerne Valley",USA,120500000,120500000
2001,Oxton,Oxton,GBR,120407292.5,240814585
2001,"Washington, D.C.",Vienna,USA,118000000,236000000
2001,Denver,Broomfield,USA,117640805,235281610
2001,Seattle,"Bainbridge Island",USA,111860177.5,223720355
2001,"Kansas City","Kansas City",USA,108583333.33333333,325750000
2001,Newark,Cranbury,USA,105866943,105866943
2001,"SF Bay Area",Emeryville,USA,104573083.6,522865418
2001,Newark,"Basking Ridge",USA,100000000,100000000
2001,Baltimore,"Lutherville Timonium",USA,100000000,100000000
2001,Dusseldrof,DÃ¼sseldorf,DEU,99108681.3,198217362.6
2001,Ãƒâ€¡an,Ã‡an,TUR,98600000,98600000
2001,"MD - Other",Hyattsville,USA,95875000,95875000
2001,"Orange County, California","Foothill Ranch",USA,94227193.5,188454387
2001,Philadelphia,Langhorne,USA,93423231,93423231
2001,Moscow,Moscow,RUS,91652845.4,1374792681
2001,"IL - Other","Illinois City",USA,85000000,85000000
2001,Munster,MÃ¼nster-sarmsheim,DEU,81672000,81672000
2001,"SK - Other",Albertville,CAN,81000000,81000000
2001,Baltimore,Annapolis,USA,80300000,80300000
2001,Trowbridge,Trowbridge,GBR,75583454,75583454
2001,Rockford,Rockford,USA,75000000,75000000
2001,Lausanne,Lausanne,CHE,74264678.71428572,519852751
2001,Atlanta,Alpharetta,USA,74016666.66666667,222050000
2001,"SF Bay Area",Brisbane,USA,73000000,73000000
2001,"PA - Other",Thornton,USA,71350002,71350002
2001,"CHN - Other",Yangpu,CHN,70000000,70000000
2001,"Washington, D.C.",Dulles,USA,70000000,70000000
2001,"SF Bay Area",Milpitas,USA,69670226.6,348351133
2001,London,Maidenhead,GBR,68500000,68500000
2001,"Los Angeles","Santa Monica",USA,64585564.666666664,775026776
2001,"SF Bay Area","Foster City",USA,64535825.25,258143301
2001,Chicago,Chicago,USA,64089956.741935484,1986788659
2001,Boston,Billerica,USA,63730248,63730248
2001,Anaheim,Irvine,USA,62373580.1875,997977283
2001,Shanghai,Shanghai,CHN,62043559.266666666,930653389
2001,Kanata,Kanata,CAN,60900000,60900000
2001,Sydney,Sydney,AUS,60721212.166666664,364327273
2001,Basel,Basel,CHE,60680000,60680000
2001,"SF Bay Area","Redwood Shores",USA,60200000,60200000
2001,Frankfurt,Heidelberg,DEU,58188612,116377224
2001,Sacramento,Davis,USA,58000000,116000000
2001,Boston,Waltham,USA,57877382.1875,926038115
2001,"Salt Lake City","South Jordan",USA,57262275,57262275
2001,Pensacola,"Miramar Beach",USA,56276492,56276492
2001,Auckland,Auckland,NZL,56193333.333333336,168580000
2001,"SF Bay Area",Hayward,USA,56004548,224018192
2001,"Albany, New York",Troy,USA,56000000,56000000
2001,Shanghai,Suzhou,CHN,54520159.5,109040319
2001,Marseille,Marseille,FRA,54331585,54331585
2001,"IND - Other",Andheri,IND,54000000,54000000
2001,"Santa Barbara",Goleta,USA,53900000,107800000
2001,Boston,Littleton,USA,53730000,53730000
2001,Minneapolis,Minneapolis,USA,53655702.333333336,643868428
2001,Charlotte,Charlotte,USA,53336191,266680955
2001,Amsterdam,Amsterdam,NLD,53099749.75,637196997
2001,Cincinnati,Mason,USA,52840362.5,105680725
2001,Memphis,Memphis,USA,52796253,105592506
2001,"FRA - Other",Saint-genis-pouilly,FRA,52750600,52750600
2001,Seattle,Bothell,USA,52750000,105500000
2001,Gainesville,Alachua,USA,52592641,157777923
2001,"SF Bay Area",Sunnyvale,USA,51707591.05,2068303642
2001,"SF Bay Area","San Carlos",USA,51354400,256772000
2001,Boston,Acton,USA,50997500,203990000
2001,Blackrock,Blackrock,IRL,50958896.61,50958896.61
2001,Shenzhen,Shenzhen,CHN,50000000,50000000
2001,Philadelphia,"Plymouth Meeting",USA,49122222,98244444
2001,Boston,Bedford,USA,48016714,144050142
2001,"Atlantic City","Egg Harbor Township",USA,47628901,47628901
2001,Sacramento,Folsom,USA,46953358,46953358
2001,Boston,Watertown,USA,46711742.75,186846971
2001,"SF Bay Area","Los Altos",USA,46386666.666666664,139160000
2001,Boston,Burlington,USA,46279175.375,370233403
2001,"SF Bay Area","South San Francisco",USA,45521141.4,227605707
2001,Newark,"Jersey City",USA,45250000,90500000
2001,"Kansas City",Lenexa,USA,45000000,45000000
2001,Brussels,Lochristi,BEL,44074955,44074955
2001,Frankfurt,Karlsruhe,DEU,43950000,87900000
2001,"Portland, Oregon",Beaverton,USA,43039475.4,215197377
2001,Bangalore,Bangalore,IND,42493666.6,637404999
2001,Boston,Westford,USA,41956904,83913808
2001,Boston,Framingham,USA,40875000,81750000
2001,Paris,Massy,FRA,40663845,40663845
2001,Raleigh,"Chapel Hill",USA,39991249.75,159964999
2001,"SF Bay Area",Fremont,USA,39081270.1,390812701
2001,Ãƒâ€°vry,Ã‰vry,FRA,39079461,39079461
2001,Dallas,Plano,USA,38068750,152275000
2001,"San Antonio","San Antonio",USA,37543713.666666664,112631141
2001,"SF Bay Area",Berkeley,USA,37363986.75,149455947
2001,Beijing,Beijing,CHN,37117569.76086956,1707408209
2001,"SF Bay Area","Menlo Park",USA,37016191.28571428,777340017
2001,"JPN - Other",China,JPN,36986666.666666664,110960000
2001,"SF Bay Area",Richmond,USA,36824722,36824722
2001,London,Reading,GBR,36525419,109576257
2001,"SF Bay Area","Redwood City",USA,36268826.777777776,979258323
2001,Newark,Princeton,USA,35117956.666666664,105353870
2001,Newark,Lyndhurst,USA,35000000,35000000
2001,Anaheim,Brea,USA,35000000,35000000
2001,"Los Angeles","Sherman Oaks",USA,34500000,34500000
2001,Wetherby,Wetherby,GBR,34200000,34200000
2001,Boston,Pembroke,USA,34000000,34000000
2001,"GBR - Other",Abertillery,GBR,33649083,33649083
2001,"San Diego","San Diego",USA,33326167.958333332,1599656062
2001,Dallas,Richardson,USA,33190239.5,132760958
2001,Hartford,"New Haven",USA,32848066.333333332,98544199
2001,"SF Bay Area","Mountain View",USA,32629477.92,1631473896
2001,"SF Bay Area",Pleasanton,USA,32600000,97800000
2001,"SF Bay Area","San Francisco",USA,32063987.08653846,6669309314
2001,"SF Bay Area","Santa Clara",USA,31976032.964285713,895328923
2001,Boston,Wilmington,USA,31670000,31670000
2001,Melbourne,"South Melbourne",AUS,31634312,31634312
2001,"Tel Aviv",Jerusalem,ISR,31560000,63120000
2001,"SF Bay Area",Campbell,USA,31533978.42857143,220737849
2001,"SF Bay Area","San Jose",USA,31489820,724265860
2001,"Long Island","Huntington Station",USA,30500000,30500000
2001,"Fuzhou Shi","Fuzhou Shi",CHN,30000000,30000000
2001,"IL - Other",Saybrook,USA,30000000,30000000
2001,London,Hayes,GBR,30000000,30000000
2001,"IRL - Other",Cree,IRL,29750000,29750000
2001,"ME - Other",Limington,USA,29500000,29500000
2001,"Charleston, South Carolina",Charleston,USA,29383487.333333332,88150462
2001,Boston,Cambridge,USA,28624095.35,1144963814
2001,"New Delhi",Noida,IND,28600000,28600000
2001,"Los Angeles",Glendale,USA,28488000,113952000
2001,Knoxville,Knoxville,USA,28364818,28364818
2001,Calgary,Calgary,CAN,28215123.14285714,197505862
2001,Louisville,Crestwood,USA,28029993.5,56059987
2001,Madison,Middleton,USA,27890167,27890167
2001,Newark,Shrewsbury,USA,27750000,27750000
2001,Pittsburgh,Pittsburgh,USA,27640805.866666667,414612088
2001,Boston,Lowell,USA,27550000,27550000
2001,Trenton,Trenton,USA,27230000,54460000
2001,Chennai,Chennai,IND,27183333.333333332,81550000
2001,Seattle,Bellevue,USA,26874637.90909091,295621017
2001,Yerevan,Yerevan,ARM,26517500,26517500
2001,"SF Bay Area","San Mateo",USA,26230717.93883871,813152256.104
2001,"SF Bay Area","San Bruno",USA,26040000,26040000
2001,"New Bedford",Foxboro,USA,26000000,26000000
2001,"Naples, Florida","Bonita Springs",USA,25000000,25000000
2001,Boston,Lexington,USA,24527939,122639695
2001,"SF Bay Area","Palo Alto",USA,24381515.0625,1170312723
2001,"SF Bay Area",Oakland,USA,24356428.57142857,170495000
2001,Cleveland,Westlake,USA,24306925,24306925
2001,Houston,Houston,USA,24276090.5,388417448
2001,"SF Bay Area","San Ramon",USA,24186000,48372000
2001,"SF Bay Area","Los Gatos",USA,23937809.25,95751237
2001,"Manchester, New Hampshire",Nashua,USA,23800000,23800000
2001,"San Diego","La Jolla",USA,23750941.714285713,166256592
2001,"Manchester, New Hampshire",Salem,USA,23660000,23660000
2001,"San Diego",Encinitas,USA,23386197,46772394
2001,"DEU - Other",GemÃ¼nden,DEU,22585000,22585000
2001,Denver,"Wheat Ridge",USA,22577724,45155448
2001,"Los Angeles","Culver City",USA,22575000,45150000
2001,Newark,Tenafly,USA,22500000,22500000
2001,Boston,Concord,USA,22294317,44588634
2001,Austin,Austin,USA,22199947.76470588,1132197336
2001,Minneapolis,"Saint Paul",USA,22018253.25,88073013
2001,"Manchester, New Hampshire",Lebanon,USA,21239129,63717387
2001,Seattle,Seattle,USA,21083483.618181817,1159591599
2001,London,Oxford,GBR,20446918,40893836
2001,Guangzhou,Guangzhou,CHN,20000000,40000000
2001,Chicago,Naperville,USA,20000000,20000000
2001,Albuquerque,Albuquerque,USA,19932595,19932595
2001,Elmira,Ithaca,USA,19807941.5,39615883
2001,Atlanta,Atlanta,USA,19656361.944444444,353814515
2001,"FRA - Other",Saint-louis-et-parahou,FRA,19567500,19567500
2001,Boston,Boston,USA,19532267.564102564,761758435
2001,Vantaa,Vantaa,FIN,19427954,19427954
2001,"Los Angeles",Pasadena,USA,19308220.75,77232883
